                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
10:00	    4.20	    1020	0	B	
10:00	    4.20	     335	0	B	
10:00	    4.20	     106	0	B	
10:00	    4.20	      14	0	B	
10:00	    4.19	       8	0	S	
10:00	    4.20	      58	0	B	
10:00	    4.19	      32	0	S	
10:00	    4.20	       3	0	B	
10:00	    4.20	       4	0	B	
10:00	    4.19	      33	0	S	
10:00	    4.20	      33	0	B	
10:00	    4.20	    1113	0	B	
10:00	    4.19	    1987	0	S	
10:00	    4.19	       5	0	S	
10:01	    4.20	      11	0	B	
10:01	    4.19	     300	0	S	
10:01	    4.19	     200	0	S	
10:01	    4.19	       7	0	S	
10:01	    4.20	      15	0	B	
10:01	    4.20	      25	0	B	
10:01	    4.19	     181	0	S	
10:01	    4.19	     123	0	S	
10:01	    4.20	     100	0	B	
10:01	    4.20	      28	0	B	
10:01	    4.20	     100	0	B	
10:01	    4.19	       3	0	S	
10:01	    4.20	      62	0	B	
10:01	    4.19	      32	0	S	
10:01	    4.19	     335	0	S	
10:01	    4.20	       5	0	B	
10:02	    4.19	      19	0	S	
10:02	    4.20	      36	0	B	
10:02	    4.19	      13	0	S	
10:02	    4.20	      63	0	B	
10:02	    4.19	      10	0	S	
10:02	    4.19	      20	0	S	
10:02	    4.19	     106	0	S	
10:02	    4.19	     127	0	S	
10:02	    4.19	      40	0	S	
10:02	    4.19	      81	0	S	
10:02	    4.19	     300	0	S	
10:02	    4.19	      64	0	S	
10:02	    4.19	       1	0	S	
10:02	    4.19	       6	0	S	
10:02	    4.19	     910	0	S	
10:03	    4.19	       1	0	S	
10:03	    4.19	      81	0	S	
10:03	    4.19	      39	0	B	
10:03	    4.19	       1	0	B	
10:03	    4.19	       5	0	B	
10:03	    4.19	      38	0	B	
10:03	    4.19	       5	0	B	
10:03	    4.18	      97	0	S	
10:03	    4.19	     200	0	B	
10:03	    4.18	      11	0	S	
10:03	    4.19	      76	0	B	
10:03	    4.19	       1	0	B	
10:03	    4.18	      89	0	S	
10:03	    4.19	     122	0	B	
10:03	    4.18	     146	0	S	
10:03	    4.18	     630	0	S	
10:04	    4.19	      36	0	B	
10:04	    4.19	      10	0	B	
10:04	    4.18	       1	0	S	
10:04	    4.19	     624	0	B	
10:04	    4.19	      25	0	B	
10:04	    4.19	     100	0	B	
10:04	    4.19	       5	0	B	
10:04	    4.19	       7	0	B	
10:04	    4.18	       5	0	S	
